order_id,item_id,customer_id,product_id,delivery_method_id,order_date,quantity,unit_price,line_amount,special_instructions,source,processed_at
1,10,1000,20,100,2021-01-01,2,39.99,79.98,,pos_system_v2,2026-03-15T10:00:00Z
1,11,1000,21,100,2021-01-01,1,99.99,99.99,,pos_system_v2,2026-03-15T10:00:00Z
2,20,1000,12,200,2021-02-01,1,799.99,799.99,,pos_system_v2,2026-03-15T10:00:00Z
3,30,2000,30,200,2022-02-01,3,59.99,179.97,Fragile handling required,pos_system_v2,2026-03-15T10:00:00Z
4,40,3000,31,200,2022-02-01,1,149.99,149.99,,pos_system_v2,2026-03-15T10:00:00Z
4,41,3000,11,200,2022-02-01,1,499.99,499.99,,pos_system_v2,2026-03-15T10:00:00Z
5,50,4000,11,100,2022-03-01,1,499.99,499.99,,pos_system_v2,2026-03-15T10:00:00Z
6,60,4000,22,100,2022-03-01,1,149.99,149.99,,pos_system_v2,2026-03-15T10:00:00Z
6,62,4000,22,100,2022-03-01,1,149.99,149.99,,pos_system_v2,2026-03-15T10:00:00Z
6,61,4000,10,100,2022-03-01,2,299.99,599.98,,pos_system_v2,2026-03-15T10:00:00Z
